,Tm,W,L,W-L_perc,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Year,T
13,St. Louis Rams,7,9,.438,289,328,-39,-2.4,-4.2,-6.7,-6.3,-0.4,2010,
14,San Francisco 49ers,6,10,.375,305,346,-41,-2.6,-3.3,-5.8,-4.7,-1.1,2010,
15,Arizona Cardinals,5,11,.313,289,434,-145,-9.1,-3.6,-12.7,-5.6,-7.1,2010,
0,New York Giants*,9,7,.563,394,400,-6,-0.4,2.0,1.6,3.1,-1.5,2011,
1,Philadelphia Eagles,8,8,.500,396,328,68,4.3,0.5,4.7,3.1,1.7,2011,
2,Dallas Cowboys,8,8,.500,369,347,22,1.4,0.3,1.6,0.7,0.9,2011,
3,Washington Redskins,5,11,.313,288,367,-79,-4.9,0.8,-4.1,-4.3,0.2,2011,
4,Green Bay Packers*,15,1,.938,560,359,201,12.6,-1.2,11.4,11.5,-0.1,2011,
5,Detroit Lions+,10,6,.625,474,387,87,5.4,0.6,6.1,6.9,-0.8,2011,
6,Chicago Bears,8,8,.500,353,341,12,0.8,0.9,1.7,-1.5,3.1,2011,
7,Minnesota Vikings,3,13,.188,340,449,-109,-6.8,1.1,-5.7,-1.6,-4.1,2011,
8,New Orleans Saints*,13,3,.813,547,339,208,13.0,-1.6,11.4,10.6,0.8,2011,
9,Atlanta Falcons+,10,6,.625,402,350,52,3.3,0.3,3.5,1.8,1.7,2011,
10,Carolina Panthers,6,10,.375,406,429,-23,-1.4,0.1,-1.3,2.6,-3.9,2011,
11,Tampa Bay Buccaneers,4,12,.250,287,494,-207,-12.9,2.3,-10.6,-4.0,-6.6,2011,
12,San Francisco 49ers*,13,3,.813,380,229,151,9.4,-1.1,8.3,1.7,6.6,2011,
13,Arizona Cardinals,8,8,.500,312,348,-36,-2.3,0.0,-2.2,-1.7,-0.5,2011,
14,Seattle Seahawks,7,9,.438,321,315,6,0.4,0.4,0.8,-0.5,1.3,2011,
15,St. Louis Rams,2,14,.125,193,407,-214,-13.4,2.9,-10.4,-8.4,-2.1,2011,
0,Washington Redskins*,10,6,.625,436,388,48,3.0,0.4,3.4,4.6,-1.2,2012,0
1,New York Giants,9,7,.563,429,344,85,5.3,0.9,6.2,4.0,2.2,2012,0
2,Dallas Cowboys,8,8,.500,376,400,-24,-1.5,1.8,0.3,1.4,-1.2,2012,0
3,Philadelphia Eagles,4,12,.250,280,444,-164,-10.3,1.4,-8.9,-5.3,-3.6,2012,0
4,Green Bay Packers*,11,5,.688,433,336,97,6.1,1.2,7.3,4.9,2.4,2012,0
5,Minnesota Vikings+,10,6,.625,379,348,31,1.9,1.4,3.4,1.6,1.8,2012,0
6,Chicago Bears,10,6,.625,375,277,98,6.1,0.8,6.9,1.0,6.0,2012,0
